Date, Element No, Used interval, SM16 Interval (new), SM17 Interval (new), SM17/SM16 Interval ratio, R (SM16), R (SM17)(exp), R (SM17), Grade, Success, abs RM16, abs RM17 (expected), abs RM17 (predicted), abs R-Metric, sqr R-Metric, Title,
Feb 14 2020 11:26:59,4,1,2,3,1.7,0.975,0.986,0.986,4,1,0.0246,0.0139,0.0139,0.0107,0.0004,(adj) regular
2ÔÂ 14 2020 11:27:14,3,1,2,4,1.86,0.978,0.986,0.986,4,1,0.0218,0.0143,0.0143,0.0076,0.0003,(v) prevent
Feb 16 2020 22:16:41,8,2,3,6,1.87,0.961,0.919,0.919,3,1,0.039,0.0808,0.0808,-0.0418,-0.005,(n) proficiency
Feb 16 2020 22:16:56,7,2,4,37,9.23,0.964,0.993,0.994,4,1,0.0357,0.0075,0.0063,0.0294,0.0012,functionality of sth.
Feb 17 2020 21:16:03,11,3,6,31,5.24,0.951,0.99,0.993,4,1,0.0492,0.0098,0.0072,0.0419,0.0024,(adv) upon
Feb 17 2020 21:16:22,9,3,5,40,7.93,0.954,0.99,0.993,3,1,0.0459,0.0098,0.007,0.039,0.0021,(adj) essential
Feb 17 2020 21:16:32,10,3,6,37,6.12,0.957,0.99,0.993,4,1,0.0433,0.0098,0.0068,0.0365,0.0018,(n) operation
Feb 17 2020 21:16:53,4,3,5,22,4.37,0.877,0.983,0.983,3,1,0.1234,0.0167,0.0167,0.1067,0.0149,(adj) regular
Feb 18 2020 16:08:14,5,4,7,45,6.5,0.946,0.987,0.992,3,1,0.0543,0.013,0.0077,0.0466,0.0029,(v) adapt
Feb 18 2020 16:08:37,3,4,8,25,3.16,0.839,0.98,0.983,4,1,0.161,0.0205,0.017,0.144,0.0256,(v) prevent
